reading_id,session_id,food_id,food_type,timestamp,days_since_start,storage,mq135_baseline,mq3_baseline,mq135_mean,mq135_std,mq3_mean,mq3_std,fsr_median,temp_c,rh_pct,label,data_source,notes
0,2026-06-01_AM,APPLE_01,apple,2026-06-01T06:00:00,0.0,room,62,21,79,4.3,24,5.3,501,29.2,60.5,fresh,synthetic_v0,simulated; ranges are estimates
1,2026-06-01_PM,APPLE_01,apple,2026-06-01T18:00:00,0.5,room,75,26,94,5.9,30,3.7,541,27.0,69.8,fresh,synthetic_v0,simulated; ranges are estimates
2,2026-06-02_AM,APPLE_01,apple,2026-06-02T06:00:00,1.0,room,71,24,84,6.8,29,4.6,518,31.2,56.7,fresh,synthetic_v0,simulated; ranges are estimates
3,2026-06-02_PM,APPLE_01,apple,2026-06-02T18:00:00,1.5,room,70,23,96,4.4,30,5.0,464,29.1,64.3,fresh,synthetic_v0,simulated; ranges are estimates
4,2026-06-03_AM,APPLE_01,apple,2026-06-03T06:00:00,2.0,room,70,27,87,6.4,31,5.0,541,28.1,62.3,fresh,synthetic_v0,simulated; ranges are estimates
5,2026-06-03_PM,APPLE_01,apple,2026-06-03T18:00:00,2.5,room,76,22,91,9.0,27,2.7,489,29.5,46.5,fresh,synthetic_v0,simulated; ranges are estimates
6,2026-06-04_AM,APPLE_01,apple,2026-06-04T06:00:00,3.0,room,73,28,92,5.3,32,3.3,537,29.3,58.5,fresh,synthetic_v0,simulated; ranges are estimates
7,2026-06-04_PM,APPLE_01,apple,2026-06-04T18:00:00,3.5,room,69,24,90,5.1,29,4.2,533,28.9,57.5,fresh,synthetic_v0,simulated; ranges are estimates
8,2026-06-05_AM,APPLE_01,apple,2026-06-05T06:00:00,4.0,room,78,26,91,7.0,28,3.3,448,28.0,63.8,fresh,synthetic_v0,simulated; ranges are estimates
9,2026-06-05_PM,APPLE_01,apple,2026-06-05T18:00:00,4.5,room,78,30,93,3.1,36,2.0,426,26.5,63.2,fresh,synthetic_v0,simulated; ranges are estimates
10,2026-06-06_AM,APPLE_01,apple,2026-06-06T06:00:00,5.0,room,73,27,97,4.1,30,3.7,535,26.6,57.3,fresh,synthetic_v0,simulated; ranges are estimates
11,2026-06-06_PM,APPLE_01,apple,2026-06-06T18:00:00,5.5,room,80,23,101,6.1,28,3.2,437,28.3,60.2,fresh,synthetic_v0,simulated; ranges are estimates
12,2026-06-07_AM,APPLE_01,apple,2026-06-07T06:00:00,6.0,room,84,28,93,8.7,32,5.3,512,28.5,71.7,fresh,synthetic_v0,simulated; ranges are estimates
13,2026-06-07_PM,APPLE_01,apple,2026-06-07T18:00:00,6.5,room,73,27,88,5.6,29,1.8,530,26.5,62.5,fresh,synthetic_v0,simulated; ranges are estimates
14,2026-06-08_AM,APPLE_01,apple,2026-06-08T06:00:00,7.0,room,81,35,115,2.0,39,4.4,457,26.8,56.7,fresh,synthetic_v0,simulated; ranges are estimates
15,2026-06-08_PM,APPLE_01,apple,2026-06-08T18:00:00,7.5,room,75,29,96,2.7,36,3.3,455,27.9,74.1,fresh,synthetic_v0,simulated; ranges are estimates
16,2026-06-09_AM,APPLE_01,apple,2026-06-09T06:00:00,8.0,room,79,32,91,4.5,33,7.2,459,26.8,66.7,fresh,synthetic_v0,simulated; ranges are estimates
17,2026-06-09_PM,APPLE_01,apple,2026-06-09T18:00:00,8.5,room,74,32,92,6.9,39,3.3,472,26.2,49.8,fresh,synthetic_v0,simulated; ranges are estimates
18,2026-06-10_AM,APPLE_01,apple,2026-06-10T06:00:00,9.0,room,78,35,127,8.6,46,4.3,406,27.4,68.9,ripe,synthetic_v0,simulated; ranges are estimates
19,2026-06-10_PM,APPLE_01,apple,2026-06-10T18:00:00,9.5,room,80,34,114,9.4,43,3.7,461,27.4,71.7,ripe,synthetic_v0,simulated; ranges are estimates
20,2026-06-11_AM,APPLE_01,apple,2026-06-11T06:00:00,10.0,room,73,27,127,5.7,38,4.5,394,30.1,60.7,ripe,synthetic_v0,simulated; ranges are estimates
21,2026-06-11_PM,APPLE_01,apple,2026-06-11T18:00:00,10.5,room,80,24,119,5.3,33,5.4,359,26.0,60.2,ripe,synthetic_v0,simulated; ranges are estimates
22,2026-06-12_AM,APPLE_01,apple,2026-06-12T06:00:00,11.0,room,75,29,134,5.7,44,3.0,448,27.7,61.9,ripe,synthetic_v0,simulated; ranges are estimates
23,2026-06-12_PM,APPLE_01,apple,2026-06-12T18:00:00,11.5,room,77,27,130,4.3,55,3.6,470,25.8,55.3,ripe,synthetic_v0,simulated; ranges are estimates
24,2026-06-13_AM,APPLE_01,apple,2026-06-13T06:00:00,12.0,room,77,34,114,5.7,43,2.4,308,27.2,53.0,ripe,synthetic_v0,simulated; ranges are estimates
25,2026-06-13_PM,APPLE_01,apple,2026-06-13T18:00:00,12.5,room,75,25,150,9.7,32,8.4,350,26.2,57.1,ripe,synthetic_v0,simulated; ranges are estimates
26,2026-06-14_AM,APPLE_01,apple,2026-06-14T06:00:00,13.0,room,75,35,110,6.9,46,3.4,426,27.8,49.0,ripe,synthetic_v0,simulated; ranges are estimates
27,2026-06-14_PM,APPLE_01,apple,2026-06-14T18:00:00,13.5,room,73,29,116,6.3,47,4.5,435,28.1,60.0,ripe,synthetic_v0,simulated; ranges are estimates
28,2026-06-15_AM,APPLE_01,apple,2026-06-15T06:00:00,14.0,room,70,30,171,6.8,116,2.9,339,26.3,69.5,overripe,synthetic_v0,simulated; ranges are estimates
29,2026-06-15_PM,APPLE_01,apple,2026-06-15T18:00:00,14.5,room,74,31,203,5.1,87,4.4,219,28.1,57.7,overripe,synthetic_v0,simulated; ranges are estimates
30,2026-06-16_AM,APPLE_01,apple,2026-06-16T06:00:00,15.0,room,71,28,178,5.5,103,4.3,154,28.4,57.0,overripe,synthetic_v0,simulated; ranges are estimates
31,2026-06-16_PM,APPLE_01,apple,2026-06-16T18:00:00,15.5,room,64,30,133,5.9,98,2.4,254,27.5,70.4,overripe,synthetic_v0,simulated; ranges are estimates
32,2026-06-17_AM,APPLE_01,apple,2026-06-17T06:00:00,16.0,room,72,34,385,6.9,181,5.2,213,27.6,60.5,rotten,synthetic_v0,simulated; ranges are estimates
33,2026-06-17_PM,APPLE_01,apple,2026-06-17T18:00:00,16.5,room,67,32,353,7.5,148,6.7,187,29.1,47.4,rotten,synthetic_v0,simulated; ranges are estimates
34,2026-06-18_AM,APPLE_01,apple,2026-06-18T06:00:00,17.0,room,68,25,258,4.6,227,2.5,163,28.0,50.3,rotten,synthetic_v0,simulated; ranges are estimates
35,2026-06-18_PM,APPLE_01,apple,2026-06-18T18:00:00,17.5,room,65,29,342,6.1,39,4.6,148,30.4,43.5,rotten,synthetic_v0,simulated; ranges are estimates
36,2026-06-19_AM,APPLE_01,apple,2026-06-19T06:00:00,18.0,room,64,29,177,7.7,230,3.1,151,29.2,68.5,rotten,synthetic_v0,simulated; ranges are estimates
37,2026-06-19_PM,APPLE_01,apple,2026-06-19T18:00:00,18.5,room,67,28,236,6.8,148,5.5,128,26.4,59.0,rotten,synthetic_v0,simulated; ranges are estimates
38,2026-06-20_AM,APPLE_01,apple,2026-06-20T06:00:00,19.0,room,71,25,239,6.0,160,6.0,172,29.3,66.7,rotten,synthetic_v0,simulated; ranges are estimates
39,2026-06-20_PM,APPLE_01,apple,2026-06-20T18:00:00,19.5,room,67,34,153,6.2,244,6.0,114,25.6,50.0,rotten,synthetic_v0,simulated; ranges are estimates
40,2026-06-01_AM,APPLE_02,apple,2026-06-01T06:00:00,0.0,room,71,21,72,6.9,23,5.1,494,28.2,66.1,fresh,synthetic_v0,simulated; ranges are estimates
41,2026-06-01_PM,APPLE_02,apple,2026-06-01T18:00:00,0.5,room,71,27,84,5.2,32,4.8,553,27.6,59.1,fresh,synthetic_v0,simulated; ranges are estimates
42,2026-06-02_AM,APPLE_02,apple,2026-06-02T06:00:00,1.0,room,75,20,81,4.6,20,5.1,408,27.6,61.6,fresh,synthetic_v0,simulated; ranges are estimates
