reading_id,session_id,food_id,food_type,timestamp,days_since_start,storage,mq135_baseline,mq3_baseline,mq135_mean,mq135_std,mq3_mean,mq3_std,fsr_median,temp_c,rh_pct,label,data_source,notes
0,2026-06-01_AM,APPLE_01,apple,2026-06-01T06:00:00,0.0,room,68,26,95,6.7,37,4.5,417,27.5,55.0,fresh,synthetic_v2,simulated; true spoil=0.24
1,2026-06-01_PM,APPLE_01,apple,2026-06-01T18:00:00,0.5,room,64,22,94,4.6,26,4.0,417,28.3,59.9,fresh,synthetic_v2,simulated; true spoil=0.24
2,2026-06-02_AM,APPLE_01,apple,2026-06-02T06:00:00,1.0,room,70,25,102,6.7,34,3.1,382,27.2,62.3,fresh,synthetic_v2,simulated; true spoil=0.26
3,2026-06-02_PM,APPLE_01,apple,2026-06-02T18:00:00,1.5,room,71,27,101,5.9,41,4.4,403,29.1,56.0,fresh,synthetic_v2,simulated; true spoil=0.26
4,2026-06-03_AM,APPLE_01,apple,2026-06-03T06:00:00,2.0,room,75,26,114,6.3,43,6.3,384,28.9,55.7,fresh,synthetic_v2,simulated; true spoil=0.29
5,2026-06-03_PM,APPLE_01,apple,2026-06-03T18:00:00,2.5,room,74,26,115,7.7,41,5.7,400,30.8,55.8,fresh,synthetic_v2,simulated; true spoil=0.29
6,2026-06-04_AM,APPLE_01,apple,2026-06-04T06:00:00,3.0,room,73,28,119,8.4,40,3.4,386,29.4,60.4,ripe,synthetic_v2,simulated; true spoil=0.31
7,2026-06-04_PM,APPLE_01,apple,2026-06-04T18:00:00,3.5,room,77,28,115,6.5,42,4.3,391,29.7,65.9,ripe,synthetic_v2,simulated; true spoil=0.31
8,2026-06-05_AM,APPLE_01,apple,2026-06-05T06:00:00,4.0,room,74,27,123,6.4,44,4.7,387,29.4,71.2,ripe,synthetic_v2,simulated; true spoil=0.34
9,2026-06-05_PM,APPLE_01,apple,2026-06-05T18:00:00,4.5,room,73,29,128,7.7,47,5.2,391,30.4,69.4,ripe,synthetic_v2,simulated; true spoil=0.34
10,2026-06-06_AM,APPLE_01,apple,2026-06-06T06:00:00,5.0,room,72,28,122,9.7,42,3.9,370,28.7,66.1,ripe,synthetic_v2,simulated; true spoil=0.36
11,2026-06-06_PM,APPLE_01,apple,2026-06-06T18:00:00,5.5,room,77,29,137,7.0,49,4.8,372,30.5,65.4,ripe,synthetic_v2,simulated; true spoil=0.36
